Player,Team,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,WP,HP,OBA
Sam Garcia,High Point,5,4,1.94,16,8,0,0,1,60.1,45,20,13,14,58,5,8,0.205
Logan Frasier,Bryant,5,3,4.45,14,13,1,0,0,58.2,75,37,29,20,58,2,10,0.31
Noah Mattera,UNLV,5,1,6.63,14,11,0,0,0,58.1,75,48,43,21,58,7,5,0.311
Carson Lambert,Southern California,6,3,3.46,27,0,0,0,1,54.2,46,22,21,11,58,1,4,0.229
Jeff Wilson,Louisiana,4,4,4.81,17,16,2,0,0,76.2,89,46,41,23,57,7,8,0.292
Chase Allen,Michigan,7,2,4.01,27,7,0,0,3,76.1,70,42,34,29,57,5,14,0.238
Calvin McClendon,Mississippi Valley State,2,7,6.69,18,14,0,0,0,75.1,86,81,56,65,57,14,10,0.287
Max Loven,North Dakota State,7,5,6.09,15,15,0,0,0,75.1,92,54,51,29,57,8,9,0.31
Ray Weber,Albany,4,8,6.12,14,14,0,0,0,75,87,53,51,28,57,5,11,0.294
Zach Kirby,East Tennessee State,3,4,3.38,14,12,0,0,0,74.2,72,37,28,20,57,2,9,0.258
JD Deany,Purdue Fort Wayne,5,3,5.2,19,10,1,0,0,71,85,43,41,27,57,10,4,0.304
Hayden Thomas,Texas A&M-Corpus Christi,4,5,5.76,15,15,0,0,0,70.1,84,53,45,33,57,11,18,0.295
Ben Fero,Stony Brook,4,4,4.54,15,12,0,0,0,69.1,72,44,35,17,57,3,5,0.268
Hunter OToole,Southeastern Louisiana,4,4,6.32,18,12,0,0,0,68.1,95,49,48,25,57,6,12,0.338
Derek Diamond,Ole Miss,4,4,6.89,16,14,0,0,0,65.1,81,53,50,13,57,3,3,0.292
Jason Gonzalez,North Florida,6,3,4.62,21,5,0,0,0,64.1,61,34,33,19,57,7,7,0.249
Brandon Little,Arkansas-Pine Bluff,1,4,7.73,17,7,0,0,1,64,82,66,55,58,57,8,6,0.319
Darren Jansen,San Jose State,9,2,4.67,31,0,0,0,3,61.2,63,38,32,31,57,8,7,0.261
Marquis Grissom Jr.,Georgia Tech,4,5,5.75,18,14,0,0,0,61,60,45,39,42,57,7,16,0.248
Chris Pouliot,Canisius,8,3,4.7,14,13,0,0,0,59.1,62,44,31,32,57,3,8,0.27
Brock Myers,Tennessee Tech,5,2,6.6,22,0,0,0,2,58.2,79,53,43,23,57,3,11,0.322
Tyler Delong,Austin Peay,4,4,6.29,19,10,0,0,0,58.2,66,41,41,33,57,4,5,0.293
Cade Winquest,UT Arlington,2,4,5.4,15,12,0,0,0,58.1,56,41,35,23,57,13,14,0.251
Hunter Stallings,Mississippi Valley State,2,4,7.67,13,11,1,0,1,51.2,54,47,44,33,57,9,3,0.269
Jordan Warecke,Manhattan,4,6,5.49,14,14,0,0,0,78.2,101,55,48,35,56,6,7,0.315
Luke Yacinich,Cornell,4,4,5.67,13,11,2,1,0,73,67,52,46,35,56,12,13,0.251
Joey Silan,Delaware,3,5,4.63,14,13,0,0,1,70,67,45,36,35,56,5,15,0.253
Andrew Duran,Arkansas-Pine Bluff,1,8,8.02,16,13,2,0,0,67.1,85,73,60,38,56,9,28,0.31
Cole Stallings,Stetson,5,5,4.41,14,13,1,1,0,65.1,65,37,32,21,56,3,6,0.265
Grant Kipp,Yale,4,3,6.79,12,11,1,0,0,65,84,53,49,19,56,5,11,0.313
Will Nash,Arkansas State,1,7,6.49,16,11,0,0,0,59.2,71,49,43,38,56,2,3,0.295
Jaden Henline,Penn State,2,3,5.64,17,7,1,0,3,59,74,44,37,16,56,6,3,0.31
Kenny Serwa,Dayton,4,6,5.68,13,12,0,0,0,57,82,48,36,8,56,11,7,0.329
Wyatt Wendell,Purdue,5,3,5.88,14,13,0,0,0,56.2,70,42,37,18,56,4,4,0.3
Gabe Driscoll,Binghamton,3,1,5.01,15,9,0,0,0,55.2,60,32,31,22,56,4,2,0.273
CJ Backer,Purdue,2,2,7.08,17,8,0,0,0,54.2,72,44,43,17,56,9,7,0.317
Kellen O'Connor,CSU Bakersfield,4,4,3.79,12,11,1,1,0,54.2,65,30,23,14,56,2,4,0.3
Zac Capps,Norfolk State,2,5,6.75,13,8,0,0,1,50.2,51,47,38,48,56,10,6,0.267
Kelyn Fox,Florida A&M,4,4,4.83,14,14,1,0,0,72.2,99,51,39,15,55,2,6,0.327
Garrett Gainey,Winthrop,5,6,6.62,15,11,0,0,0,70.2,93,52,52,17,55,6,5,0.32
Luke Eldred,Dallas Baptist,5,2,4.63,16,15,0,0,0,70,80,36,36,16,55,7,9,0.279
Peyton Stumbo,Nevada,5,2,6.49,16,9,0,0,0,69.1,85,57,50,22,55,4,6,0.301
Jesse Barker,Central Arkansas,2,7,5.27,16,11,1,1,2,68.1,76,43,40,18,55,4,2,0.277
Liam Devine,St. Bonaventure,0,6,6.32,14,9,0,0,2,68.1,83,54,48,27,55,1,6,0.301
Hunter Hayes,Pacific,2,9,6.82,14,14,0,0,0,64.2,106,73,49,25,55,3,16,0.361
Trey McDaniel,Southern Illinois,8,1,3.53,26,0,0,0,5,63.2,71,36,25,15,55,1,3,0.274
Noah Beal,UNLV,8,1,5.75,18,6,0,0,1,61,69,42,39,27,55,6,4,0.284
Sean Duffy,High Point,4,3,3.45,23,7,0,0,2,60,53,28,23,31,55,8,10,0.236
Ryan Douglas,UNC Asheville,2,6,5.31,14,13,0,0,0,59.1,61,45,35,29,55,13,4,0.263
Jerry Couch,Charleston Southern,3,3,6.55,17,8,0,0,2,56.1,82,50,41,19,55,5,9,0.335
Jake Kates,Western Kentucky,4,5,5.56,18,7,0,0,0,55,57,39,34,18,55,5,5,0.254
